3, 302438.700692, -2577138.701689
1, -176947.457883, -2271543.788456
36, -227477.144536, -2820992.694875
26, -297953.268579, -1825525.110271
18, -296988.170969, -1836869.709285
22, -302038.155600, -1847733.018537
53, -201702.959086, -2172673.868492
90, -201195.587452, -2201813.613702
88, -257208.587274, -1941613.514868
52, -204568.864456, -2189116.783673
47, -225936.008661, -2012638.801348
70, -208071.932054, -2097832.021721
191, -231311.084489, -2035284.965086
13, -199210.677033, -2179125.058768
119, -208298.041720, -2107454.217865
134, -204522.556301, -2119591.979608
5, -230880.099355, -1980950.336464
25, -210440.841001, -2085682.875370
6, -209276.091678, -2134850.191287
68, -257267.740661, -1979028.104898
31, 103731.856308, -3031162.769966
15, 93879.428963, -3003991.603741
12, 166540.870434, -2879598.584173
2, 493275.392224, -2293112.253212
91, 683493.049363, -2242602.681715
48, 588155.465627, -2063368.920222
8, 558388.929474, -1896021.004787
215, 623141.676643, -1649096.596365
226, 619558.941898, -1492799.044243
168, -214371.429154, -2300750.571970
220, -209827.560927, -2295280.412661
32, -209267.753803, -2249599.051966
125, -301364.157687, -1853827.004058
98, -310595.413128, -1828569.882839
192, -555157.544681, -1382145.607115
171, -566962.663096, -1384011.358398
150, -574809.880751, -1388344.993775
234, -604949.857589, -1370743.846841
221, -564209.101006, -1344443.778292
219, -564234.968734, -1332038.745397
227, -573566.530402, -1329636.641826
113, -589498.671494, -1285747.203975
214, -498800.412177, -1291945.523376
69, -486351.929518, -1264752.535838
59, -482295.805989, -1253086.292505
135, -484967.650565, -1246770.450703
224, -504491.309721, -1240522.620865
145, -536655.613732, -1227509.597091
195, -556595.433612, -1198143.394787
210, -580777.631100, -1181926.529926
175, -587420.756963, -1172018.528772
229, -597079.434905, -1138182.318773
139, -371633.747338, -1055654.777337
241, -199683.403496, -919451.989770
159, -153237.369902, -910205.830013
109, -3535.919757, -910178.826267
169, -10927.951823, -887969.332546
201, 34266.855481, -854758.585612
237, 43116.849141, -827386.935636
225, 70267.251186, -835409.089640
218, 188412.942273, -871401.873780
163, 198453.109809, -884915.353969
111, 279223.615214, -886233.612347
240, 534244.882584, -1245643.261538
228, 590733.622125, -1379704.768225
155, 575172.969549, -1652735.212751
94, 548506.441697, -1713922.649522
185, 544729.659559, -1720305.265528
194, 546757.202532, -1756807.034865
212, 564955.663388, -1784487.632861
72, 548615.127464, -1875174.988353
186, 544518.584952, -1882473.375477
230, 607825.179854, -1970605.115744
99, 610772.321591, -2032741.830698
157, 640526.599733, -2091229.816636
132, 661440.221908, -2089338.879868
44, 667153.550399, -2086599.486103
136, 694352.655430, -2051958.897284
124, 729936.186791, -2030595.610239
129, 769108.657967, -2132617.531759
160, 760802.222348, -2142165.277884
93, 752199.093190, -2178063.890841
131, 748934.734244, -2189542.565439
174, 716379.511530, -2210977.454339
161, 658845.574692, -2270815.909807
42, 611164.946729, -2286883.690497
154, 582746.340406, -2306007.000310
30, -43458.735673, -3171568.152715
92, -182596.925501, -3135071.532131
20, -203152.224144, -3089802.011320
95, -215134.531799, -3062530.611777
115, -228419.474584, -2815037.798078
63, -242404.278330, -2780162.861479
87, 492286.701097, -2296737.789752
180, 164510.192387, -2908882.404726
209, 597005.684253, -1994035.157128
38, 554419.838288, -2315802.017988
167, 521590.381800, -2296990.876015
138, 508183.358230, -2286044.735917
233, 503521.638797, -2285729.535472
61, 525818.298239, -2367746.952126
84, 521801.531706, -2373111.452835
80, 493292.088960, -2390253.467377
11, 497719.835641, -2401141.891780
34, 494619.778100, -2410719.143154
10, 496438.112681, -2425691.709854
57, 488461.163044, -2450750.276353
152, 480655.756896, -2488501.322826
65, 475437.375880, -2515114.795500
35, 470712.471960, -2537727.917748
158, 464339.166064, -2543290.166061
199, 439459.255972, -2557202.466741
127, 408874.306332, -2555176.312501
153, 395919.234463, -2597708.779490
208, 385250.505837, -2599294.810712
198, 380905.763355, -2598684.089724
121, 370617.005979, -2561673.954648
49, 338084.112704, -2575270.849080
117, 301803.640065, -2621625.346442
46, 251480.065253, -2661902.757702
29, 249513.045161, -2668425.286316
54, 235045.710592, -2676898.539766
40, 230104.562527, -2683573.837937
50, 206211.612900, -2721693.665051
4, 186053.363748, -2729352.951468
14, 183770.160981, -2746496.615126
77, 189765.047333, -2758033.439636
9, 214408.429460, -2800816.351769
19, 172331.278750, -2821485.137978
7, 169609.535417, -2830752.414860
64, 173703.694481, -2839570.366184
79, 176388.282723, -2871630.367559
73, 168682.665458, -2888728.175890
82, 162597.372151, -2947449.437812
58, 145430.764208, -2949739.228628
39, 125157.065963, -2991241.682646
60, 103461.439769, -3034386.600907
23, 107042.399465, -3041440.795340
147, 120902.390714, -3045174.356020
123, 131051.137252, -3054242.178787
55, 137394.108204, -3081420.138204
85, 132214.678471, -3098054.634466
140, 121401.449568, -3110679.592972
122, 115681.883099, -3119709.701898
120, 128532.028002, -3125730.846572
33, 104956.582462, -3137163.628799
104, 111397.736128, -3146877.051582
128, 129623.843037, -3153188.025338
43, 95745.828774, -3168526.646589
45, 99792.877952, -3182244.013637
86, 71115.381968, -3193923.524536
108, 85401.749670, -3215366.703547
143, 79559.864495, -3224864.092686
56, -320835.009810, -1799732.293340
41, -326281.715951, -1771169.323388
101, -327424.310467, -1759348.733336
67, -324316.916087, -1731287.260058
106, -326167.930720, -1719833.340955
130, -330253.749351, -1686308.579179
21, -326028.995400, -1667833.027648
17, -326031.746627, -1643795.027044
105, -328681.766458, -1631757.213073
24, -332400.468364, -1622779.500962
96, -336548.969986, -1614515.221356
37, -343777.269176, -1605505.909664
